ItemNum,Phase,Painting,Artist,Schedule,ConDir,ConName,ConCat,Block,Notes,Subj,Stimset,Stimsubset,Order
25,GenTest,Images/McKinley/McKinley10.jpg,McKinley,Blocked,NA,NA,NA,1,NA,3,35,b,BF
61,GenTest,Images/Schlorff/Schlorff11.jpg,Schlorff,Interleaved,NA,NA,NA,1,NA,3,35,b,BF
49,GenTest,Images/Grossman/Grossman16.jpg,Grossman,Interleaved,NA,NA,NA,1,NA,3,35,b,BF
1,GenTest,Images/Lindenberg/Lindenberg16.jpg,Lindenberg,Blocked,NA,NA,NA,1,NA,3,35,b,BF
37,GenTest,Images/Walter/Walter11.jpg,Walter,Blocked,NA,NA,NA,1,NA,3,35,b,BF
5,instruct,NA,NA,NA,NA,NA,NA,NA,D1GR,3,35,b,BF
35,GenRecTest,Images/McKinley/McKinley3.jpg,McKinley,Blocked,Images/Context/nat/Grand_Canyon.jpg,Grand Canyon,nat,NA,NA,3,35,b,BF
29,GenRecTest,Images/Lindenberg/Lindenberg4.jpg,Lindenberg,Blocked,Images/Context/nat/Lake_Tahoe.jpg,Lake Tahoe,nat,NA,NA,3,35,b,BF
33,GenRecTest,Images/McKinley/McKinley6.jpg,McKinley,Blocked,Images/Context/mm/Louvre.jpg,Louvre,mm,NA,NA,3,35,b,BF
34,GenRecTest,Images/McKinley/McKinley5.jpg,McKinley,Blocked,Images/Context/mm/Sydney_Opera_House.jpg,Sydney Opera House,mm,NA,NA,3,35,b,BF
30,GenRecTest,Images/Lindenberg/Lindenberg3.jpg,Lindenberg,Blocked,Images/Context/nat/Paria_Canyon.jpg,Paria Canyon,nat,NA,NA,3,35,b,BF
26,GenRecTest,Images/Lindenberg/Lindenberg1.jpg,Lindenberg,Blocked,Images/Context/nat/Zhangye_Danxia_Park.jpg,Zhangye Danxia Park,nat,NA,NA,3,35,b,BF
4,instruct,NA,NA,NA,NA,NA,NA,NA,D1R,3,35,b,BF
30,RecTest,Images/Lindenberg/Lindenberg3.jpg,Lindenberg,Blocked,Images/Context/nat/Paria_Canyon.jpg,Paria Canyon,nat,NA,NA,3,35,b,BF
28,RecTest,Images/Lindenberg/Lindenberg2.jpg,Lindenberg,Blocked,Images/Context/mm/Forbidden_City.jpg,Forbidden City,mm,NA,NA,3,35,b,BF
19,RecTest,Images/Walter/Walter4.jpg,Walter,Blocked,Images/Context/nat/Niagra_Falls.jpg,Niagra Falls,nat,NA,NA,3,35,b,BF
32,RecTest,Images/McKinley/McKinley2.jpg,McKinley,Blocked,Images/Context/mm/Pentagon.jpg,Pentagon,mm,NA,NA,3,35,b,BF
29,RecTest,Images/Lindenberg/Lindenberg4.jpg,Lindenberg,Blocked,Images/Context/nat/Lake_Tahoe.jpg,Lake Tahoe,nat,NA,NA,3,35,b,BF
25,RecTest,Images/Lindenberg/Lindenberg5.jpg,Lindenberg,Blocked,Images/Context/mm/Dome_of_the_Rock.jpg,Dome of the Rock,mm,NA,NA,3,35,b,BF
Session2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,35,b,BF
6,instruct,NA,NA,NA,NA,NA,NA,NA,D2intro,3,35,b,BF
7,instruct,NA,NA,NA,NA,NA,NA,NA,D2G,3,35,b,BF
43,GenTest,Images/Walter/Walter17.jpg,Walter,Blocked,NA,NA,NA,1,NA,3,35,b,BF
31,GenTest,Images/McKinley/McKinley8.jpg,McKinley,Blocked,NA,NA,NA,1,NA,3,35,b,BF
7,GenTest,Images/Lindenberg/Lindenberg11.jpg,Lindenberg,Blocked,NA,NA,NA,1,NA,3,35,b,BF
67,GenTest,Images/Schlorff/Schlorff10.jpg,Schlorff,Interleaved,NA,NA,NA,1,NA,3,35,b,BF
19,GenTest,Images/Schwartz/Schwartz9.jpg,Schwartz,Interleaved,NA,NA,NA,1,NA,3,35,b,BF
55,GenTest,Images/Grossman/Grossman13.jpg,Grossman,Interleaved,NA,NA,NA,1,NA,3,35,b,BF
20,GenTest,Images/Schwartz/Schwartz17.jpg,Schwartz,Interleaved,NA,NA,NA,2,NA,3,35,b,BF
56,GenTest,Images/Grossman/Grossman17.jpg,Grossman,Interleaved,NA,NA,NA,2,NA,3,35,b,BF
44,GenTest,Images/Walter/Walter15.jpg,Walter,Blocked,NA,NA,NA,2,NA,3,35,b,BF
68,GenTest,Images/Schlorff/Schlorff14.jpg,Schlorff,Interleaved,NA,NA,NA,2,NA,3,35,b,BF
8,GenTest,Images/Lindenberg/Lindenberg17.jpg,Lindenberg,Blocked,NA,NA,NA,2,NA,3,35,b,BF
32,GenTest,Images/McKinley/McKinley7.jpg,McKinley,Blocked,NA,NA,NA,2,NA,3,35,b,BF
21,GenTest,Images/Schwartz/Schwartz15.jpg,Schwartz,Interleaved,NA,NA,NA,3,NA,3,35,b,BF
69,GenTest,Images/Schlorff/Schlorff9.jpg,Schlorff,Interleaved,NA,NA,NA,3,NA,3,35,b,BF
57,GenTest,Images/Grossman/Grossman7.jpg,Grossman,Interleaved,NA,NA,NA,3,NA,3,35,b,BF
9,GenTest,Images/Lindenberg/Lindenberg18.jpg,Lindenberg,Blocked,NA,NA,NA,3,NA,3,35,b,BF
33,GenTest,Images/McKinley/McKinley17.jpg,McKinley,Blocked,NA,NA,NA,3,NA,3,35,b,BF
45,GenTest,Images/Walter/Walter9.jpg,Walter,Blocked,NA,NA,NA,3,NA,3,35,b,BF
58,GenTest,Images/Grossman/Grossman9.jpg,Grossman,Interleaved,NA,NA,NA,4,NA,3,35,b,BF
34,GenTest,Images/McKinley/McKinley12.jpg,McKinley,Blocked,NA,NA,NA,4,NA,3,35,b,BF
70,GenTest,Images/Schlorff/Schlorff18.jpg,Schlorff,Interleaved,NA,NA,NA,4,NA,3,35,b,BF
46,GenTest,Images/Walter/Walter10.jpg,Walter,Blocked,NA,NA,NA,4,NA,3,35,b,BF
22,GenTest,Images/Schwartz/Schwartz13.jpg,Schwartz,Interleaved,NA,NA,NA,4,NA,3,35,b,BF
10,GenTest,Images/Lindenberg/Lindenberg13.jpg,Lindenberg,Blocked,NA,NA,NA,4,NA,3,35,b,BF
